symbol,sector
360ONE,Finance
3MINDIA,Misc
AADHARHFC,Finance
AARTIIND,Chemicals
AAVAS,Finance
ABB,CapitalGoods
ABBOTINDIA,Pharma
ABCAPITAL,Finance
ABDL,FMCG
ABFRL,ConsumerServices
ABLBL,ConsumerServices
ABREL,Realty
ABSLAMC,Finance
ACC,Cement
ACE,CapitalGoods
ACMESOLAR,Power
ACUTAAS,Pharma
ADANIENSOL,Power
ADANIENT,Metals
ADANIGREEN,Power
ADANIPORTS,Services
ADANIPOWER,Power
AEGISLOG,OilGas
AEGISVOPAK,OilGas
AFCONS,Infrastructure
AFFLE,IT
AIAENG,CapitalGoods
AIIL,Finance
AJANTPHARM,Pharma
ALKEM,Pharma
AMBER,ConsumerDur
AMBUJACEM,Cement
ANANDRATHI,Finance
ANANTRAJ,Realty
ANGELONE,Finance
ANTHEM,Pharma
ANURAS,Chemicals
APARINDS,CapitalGoods
APLAPOLLO,CapitalGoods
APOLLOHOSP,Pharma
APOLLOTYRE,Auto
APTUS,Finance
ARE&M,Auto
ASAHIINDIA,Auto
ASHOKLEY,CapitalGoods
ASIANPAINT,ConsumerDur
ASTERDM,Pharma
ASTRAL,CapitalGoods
ATGL,OilGas
ATHERENERG,Auto
ATUL,Chemicals
AUBANK,Finance
AUROPHARMA,Pharma
AWL,FMCG
AXISBANK,Finance
BAJAJ-AUTO,Auto
BAJAJFINSV,Finance
BAJAJHFL,Finance
BAJAJHLDNG,Finance
BAJFINANCE,Finance
BALKRISIND,Auto
BALRAMCHIN,FMCG
BANDHANBNK,Finance
BANKBARODA,Finance
BANKINDIA,Finance
BATAINDIA,ConsumerDur
BAYERCROP,Chemicals
BBTC,FMCG
BDL,CapitalGoods
BEL,CapitalGoods
BELRISE,Auto
BEML,CapitalGoods
BERGEPAINT,ConsumerDur
BHARATFORG,Auto
BHARTIARTL,Telecom
BHARTIHEXA,Telecom
BHEL,CapitalGoods
BIKAJI,FMCG
BIOCON,Pharma
BLS,ConsumerServices
BLUEDART,Services
BLUEJET,Pharma
BLUESTARCO,ConsumerDur
BOSCHLTD,Auto
BPCL,OilGas
BRIGADE,Realty
BRITANNIA,FMCG
BSE,Finance
BSOFT,IT
CAMS,Finance
CANBK,Finance
CANFINHOME,Finance
CANHLIFE,Finance
CAPLIPOINT,Pharma
CARBORUNIV,CapitalGoods
CARTRADE,ConsumerServices
CASTROLIND,OilGas
CCL,FMCG
CDSL,Finance
CEATLTD,Auto
CEMPRO,Infrastructure
CENTRALBK,Finance
CESC,Power
CGCL,Finance
CGPOWER,CapitalGoods
CHALET,ConsumerServices
CHAMBLFERT,Chemicals
CHENNPETRO,OilGas
CHOICEIN,Finance
CHOLAFIN,Finance
CHOLAHLDNG,Finance
CIEINDIA,Auto
CIPLA,Pharma
CLEAN,Chemicals
COALINDIA,OilGas
COCHINSHIP,CapitalGoods
COFORGE,IT
COHANCE,Pharma
COLPAL,FMCG
CONCOR,Services
CONCORDBIO,Pharma
COROMANDEL,Chemicals
CPPLUS,CapitalGoods
CRAFTSMAN,Auto
CREDITACC,Finance
CRISIL,Finance
CROMPTON,ConsumerDur
CUB,Finance
CUMMINSIND,CapitalGoods
CYIENT,IT
DABUR,FMCG
DALBHARAT,Cement
DATAPATTNS,CapitalGoods
DCMSHRIRAM,Misc
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DELHIVERY,Services
DEVYANI,ConsumerServices
DIVISLAB,Pharma
DIXON,ConsumerDur
DLF,Realty
DMART,ConsumerServices
DOMS,FMCG
DRREDDY,Pharma
ECLERX,Services
EICHERMOT,Auto
EIDPARRY,FMCG
EIHOTEL,ConsumerServices
ELECON,CapitalGoods
ELGIEQUIP,CapitalGoods
EMAMILTD,FMCG
EMCURE,Pharma
EMMVEE,CapitalGoods
ENDURANCE,Auto
ENGINERSIN,Infrastructure
ENRIN,CapitalGoods
ERIS,Pharma
ESCORTS,CapitalGoods
ETERNAL,ConsumerServices
EXIDEIND,Auto
FACT,Chemicals
FEDERALBNK,Finance
FINCABLES,CapitalGoods
FIRSTCRY,ConsumerServices
FIVESTAR,Finance
FLUOROCHEM,Chemicals
FORCEMOT,Auto
FORTIS,Pharma
FSL,Services
GABRIEL,Auto
GAIL,OilGas
GALLANTT,CapitalGoods
GESHIP,Services
GICRE,Finance
GILLETTE,FMCG
GLAND,Pharma
GLAXO,Pharma
GLENMARK,Pharma
GMDCLTD,Metals
GMRAIRPORT,Services
GODFRYPHLP,FMCG
GODIGIT,Finance
GODREJCP,FMCG
GODREJIND,Misc
GODREJPROP,Realty
GPIL,CapitalGoods
GRANULES,Pharma
GRAPHITE,CapitalGoods
GRASIM,Cement
GRAVITA,Metals
GROWW,Finance
GRSE,CapitalGoods
GVT&D,CapitalGoods
HAL,CapitalGoods
HAVELLS,ConsumerDur
HBLENGINE,CapitalGoods
HCLTECH,IT
HDBFS,Finance
HDFCAMC,Finance
HDFCBANK,Finance
HDFCLIFE,Finance
HEG,CapitalGoods
HEROMOTOCO,Auto
HEXT,IT
HFCL,Telecom
HINDALCO,Metals
HINDCOPPER,Metals
HINDPETRO,OilGas
HINDUNILVR,FMCG
HINDZINC,Metals
HOMEFIRST,Finance
HONASA,FMCG
HONAUT,CapitalGoods
HSCL,Chemicals
HUDCO,Finance
HYUNDAI,Auto
ICICIAMC,Finance
ICICIBANK,Finance
ICICIGI,Finance
ICICIPRULI,Finance
IDBI,Finance
IDEA,Telecom
IDFCFIRSTB,Finance
IEX,Finance
IFCI,Finance
IGIL,Services
IGL,OilGas
IIFL,Finance
IKS,IT
INDGN,Pharma
INDHOTEL,ConsumerServices
INDIACEM,Cement
INDIAMART,ConsumerServices
INDIANB,Finance
INDIGO,Services
INDUSINDBK,Finance
INDUSTOWER,Telecom
INFY,IT
INOXWIND,CapitalGoods
INTELLECT,IT
IOB,Finance
IOC,OilGas
IPCALAB,Pharma
IRB,Infrastructure
IRCON,Infrastructure
IRCTC,ConsumerServices
IREDA,Finance
IRFC,Finance
ITC,FMCG
ITCHOTELS,ConsumerServices
ITI,Telecom
J&KBANK,Finance
JAINREC,Metals
JBCHEPHARM,Pharma
JBMA,Auto
JINDALSAW,CapitalGoods
JINDALSTEL,Metals
JIOFIN,Finance
JKCEMENT,Cement
JKTYRE,Auto
JMFINANCIL,Finance
JPPOWER,Power
JSL,Metals
JSWCEMENT,Cement
JSWDULUX,ConsumerDur
JSWENERGY,Power
JSWINFRA,Services
JSWSTEEL,Metals
JUBLFOOD,ConsumerServices
JUBLINGREA,Chemicals
JUBLPHARMA,Pharma
JWL,CapitalGoods
JYOTICNC,CapitalGoods
KAJARIACER,ConsumerDur
KALYANKJIL,ConsumerDur
KARURVYSYA,Finance
KAYNES,CapitalGoods
KEC,Infrastructure
KEI,CapitalGoods
KFINTECH,Finance
KIMS,Pharma
KIRLOSENG,CapitalGoods
KOTAKBANK,Finance
KPIL,Infrastructure
KPITTECH,IT
KPRMILL,Textiles
LALPATHLAB,Pharma
LATENTVIEW,IT
LAURUSLABS,Pharma
LEMONTREE,ConsumerServices
LENSKART,ConsumerServices
LGEINDIA,ConsumerDur
LICHSGFIN,Finance
LICI,Finance
LINDEINDIA,Chemicals
LLOYDSME,Metals
LODHA,Realty
LT,Infrastructure
LTF,Finance
LTFOODS,FMCG
LTM,IT
LTTS,IT
LUPIN,Pharma
M&M,Auto
M&MFIN,Finance
MAHABANK,Finance
MANAPPURAM,Finance
MANKIND,Pharma
MAPMYINDIA,IT
MARICO,FMCG
MARUTI,Auto
MAXHEALTH,Pharma
MAZDOCK,CapitalGoods
MCX,Finance
MEDANTA,Pharma
MEESHO,ConsumerServices
MFSL,Finance
MGL,OilGas
MINDACORP,Auto
MMTC,Services
MOTHERSON,Auto
MOTILALOFS,Finance
MPHASIS,IT
MRF,Auto
MRPL,OilGas
MSUMI,Auto
MUTHOOTFIN,Finance
NAM-INDIA,Finance
NATCOPHARM,Pharma
NATIONALUM,Metals
NAUKRI,ConsumerServices
NAVA,Power
NAVINFLUOR,Chemicals
NBCC,Infrastructure
NCC,Infrastructure
NESTLEIND,FMCG
NETWEB,IT
NEULANDLAB,Pharma
NEWGEN,IT
NH,Pharma
NHPC,Power
NIACL,Finance
NIVABUPA,Finance
NLCINDIA,Power
NMDC,Metals
NSLNISP,Metals
NTPC,Power
NTPCGREEN,Power
NUVAMA,Finance
NUVOCO,Cement
NYKAA,ConsumerServices
OBEROIRLTY,Realty
OFSS,IT
OIL,OilGas
OLAELEC,Auto
OLECTRA,Auto
ONESOURCE,Pharma
ONGC,OilGas
PAGEIND,Textiles
PARADEEP,Chemicals
PATANJALI,FMCG
PAYTM,Finance
PCBL,Chemicals
PERSISTENT,IT
PETRONET,OilGas
PFC,Finance
PFIZER,Pharma
PGEL,ConsumerDur
PHOENIXLTD,Realty
PIDILITIND,Chemicals
PIIND,Chemicals
PINELABS,Finance
PIRAMALFIN,Finance
PNB,Finance
PNBHOUSING,Finance
POLICYBZR,Finance
POLYCAB,CapitalGoods
POLYMED,Pharma
POONAWALLA,Finance
POWERGRID,Power
POWERINDIA,CapitalGoods
PPLPHARMA,Pharma
PREMIERENE,CapitalGoods
PRESTIGE,Realty
PTCIL,CapitalGoods
PVRINOX,Media
PWL,ConsumerServices
RADICO,FMCG
RAILTEL,Telecom
RAINBOW,Pharma
RAMCOCEM,Cement
RBLBANK,Finance
RECLTD,Finance
REDINGTON,Services
RELIANCE,OilGas
RHIM,CapitalGoods
RITES,Infrastructure
RKFORGE,Auto
RPOWER,Power
RRKABEL,CapitalGoods
RVNL,Infrastructure
SAGILITY,IT
SAIL,Metals
SAILIFE,Pharma
SAMMAANCAP,Finance
SAPPHIRE,ConsumerServices
SARDAEN,Metals
SAREGAMA,Media
SBFC,Finance
SBICARD,Finance
SBILIFE,Finance
SBIN,Finance
SCHAEFFLER,Auto
SCHNEIDER,CapitalGoods
SCI,Services
SHREECEM,Cement
SHRIRAMFIN,Finance
SHYAMMETL,CapitalGoods
SIEMENS,CapitalGoods
SIGNATURE,Realty
SJVN,Power
SOBHA,Realty
SOLARINDS,Chemicals
SONACOMS,Auto
SONATSOFTW,IT
SPLPETRO,Chemicals
SRF,Chemicals
STARHEALTH,Finance
SUMICHEM,Chemicals
SUNDARMFIN,Finance
SUNPHARMA,Pharma
SUNTV,Media
SUPREMEIND,CapitalGoods
SUZLON,CapitalGoods
SWANCORP,Chemicals
SWIGGY,ConsumerServices
SYNGENE,Pharma
SYRMA,CapitalGoods
TARIL,CapitalGoods
TATACAP,Finance
TATACHEM,Chemicals
TATACOMM,Telecom
TATACONSUM,FMCG
TATAELXSI,IT
TATAINVEST,Finance
TATAPOWER,Power
TATASTEEL,Metals
TATATECH,IT
TBOTEK,ConsumerServices
TCS,IT
TECHM,IT
TECHNOE,Infrastructure
TEGA,CapitalGoods
TEJASNET,Telecom
TENNIND,Auto
THELEELA,ConsumerServices
THERMAX,CapitalGoods
TIINDIA,Auto
TIMKEN,CapitalGoods
TITAGARH,CapitalGoods
TITAN,ConsumerDur
TMCV,CapitalGoods
TMPV,Auto
TORNTPHARM,Pharma
TORNTPOWER,Power
TRAVELFOOD,ConsumerServices
TRENT,ConsumerServices
TRIDENT,Textiles
TRITURBINE,CapitalGoods
TTML,Telecom
TVSMOTOR,Auto
UBL,FMCG
UCOBANK,Finance
ULTRACEMCO,Cement
UNIONBANK,Finance
UNITDSPR,FMCG
UNOMINDA,Auto
UPL,Chemicals
URBANCO,ConsumerServices
USHAMART,CapitalGoods
UTIAMC,Finance
VAML,Metals
VBL,FMCG
VEDL,Metals
VEDPOWER,Power
VIJAYA,Pharma
VISL,Metals
VMM,ConsumerServices
VOGL,OilGas
VOLTAS,ConsumerDur
VTL,Textiles
WAAREEENER,CapitalGoods
WELCORP,CapitalGoods
WELSPUNLIV,Textiles
WHIRLPOOL,ConsumerDur
WIPRO,IT
WOCKPHARMA,Pharma
YESBANK,Finance
ZEEL,Media
ZENSARTECH,IT
ZENTEC,CapitalGoods
ZFCVINDIA,Auto
ZYDUSLIFE,Pharma
ZYDUSWELL,FMCG
